               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.025098,           0.0069085,            0.013194,             0.75398,             0.71098,             0.72974,             0.52422,            0.020356,           0.0047013,            0.011531,            0.008119,            0.008119,            0.008119
                  59,            0.025618,           0.0069827,            0.012471,             0.78921,             0.70047,             0.74092,             0.53781,            0.020686,           0.0046294,            0.011328,            0.008086,            0.008086,            0.008086
                  60,            0.025281,           0.0070001,            0.012622,             0.73379,              0.7612,             0.75198,             0.54816,            0.020877,            0.004612,            0.011589,            0.008053,            0.008053,            0.008053
                  61,            0.025315,           0.0068829,            0.012675,             0.79551,             0.70437,              0.7521,             0.54604,             0.02061,            0.004743,            0.011171,             0.00802,             0.00802,             0.00802
                  62,            0.024743,           0.0068819,            0.012639,             0.79779,             0.72697,             0.75313,             0.54803,            0.020064,           0.0045862,            0.010345,            0.007987,            0.007987,            0.007987
                  63,            0.025102,           0.0068945,            0.011578,             0.78542,              0.7377,             0.75077,             0.54086,            0.020049,           0.0046153,            0.010097,            0.007954,            0.007954,            0.007954
                  64,            0.025503,           0.0068227,            0.011158,              0.8024,             0.72406,             0.74489,             0.52786,            0.020807,           0.0047091,           0.0096946,            0.007921,            0.007921,            0.007921
                  65,             0.02493,           0.0070605,            0.011273,             0.82104,             0.74536,             0.75735,             0.55147,            0.019823,           0.0046339,           0.0096027,            0.007888,            0.007888,            0.007888
                  66,             0.02465,           0.0069003,            0.010881,             0.87186,             0.69921,             0.75214,             0.55123,            0.019834,           0.0045662,           0.0099677,            0.007855,            0.007855,            0.007855
                  67,            0.024924,           0.0068264,            0.010748,              0.8091,             0.75506,             0.76016,             0.55797,            0.019913,           0.0045542,            0.010095,            0.007822,            0.007822,            0.007822
                  68,            0.024545,           0.0068191,            0.010737,             0.79423,              0.7423,             0.75577,             0.54576,            0.020419,           0.0045555,           0.0097629,            0.007789,            0.007789,            0.007789
                  69,            0.024828,           0.0065116,             0.01044,             0.80743,             0.76141,              0.7836,             0.56902,             0.01952,           0.0045391,           0.0097384,            0.007756,            0.007756,            0.007756
                  70,            0.024755,            0.006867,            0.011131,             0.82937,             0.72045,             0.76826,             0.55979,            0.019966,           0.0047163,            0.010261,            0.007723,            0.007723,            0.007723
                  71,            0.024665,           0.0069728,            0.010305,             0.81541,             0.78051,              0.7908,             0.57966,            0.019083,           0.0045891,           0.0089463,             0.00769,             0.00769,             0.00769
                  72,            0.024182,           0.0067645,            0.010082,             0.78539,             0.78355,             0.78661,             0.57924,            0.020009,           0.0045978,           0.0089886,            0.007657,            0.007657,            0.007657
                  73,            0.024039,           0.0067322,           0.0099652,             0.86521,             0.72852,             0.79887,             0.61478,            0.018885,           0.0045292,           0.0088433,            0.007624,            0.007624,            0.007624
                  74,            0.024488,            0.006683,           0.0096131,             0.83539,             0.76988,              0.8009,             0.59754,            0.019417,           0.0045636,           0.0089633,            0.007591,            0.007591,            0.007591
                  75,            0.024743,           0.0067218,           0.0097833,             0.87405,              0.7355,             0.81002,             0.60476,            0.019394,           0.0045871,           0.0083023,            0.007558,            0.007558,            0.007558
                  76,             0.02467,           0.0067982,           0.0096004,             0.82338,             0.76057,             0.79689,             0.58265,            0.019285,           0.0046144,           0.0085174,            0.007525,            0.007525,            0.007525
                  77,              0.0241,           0.0067154,           0.0097399,             0.86566,             0.73918,             0.77122,             0.57187,            0.019166,           0.0045689,           0.0080583,            0.007492,            0.007492,            0.007492
                  78,            0.023944,           0.0067288,           0.0093336,             0.86026,             0.73256,             0.79059,             0.58621,            0.020017,           0.0045492,           0.0077759,            0.007459,            0.007459,            0.007459
                  79,            0.024474,           0.0067574,           0.0095511,             0.88149,             0.74051,             0.79514,             0.59784,            0.019384,           0.0045473,           0.0075308,            0.007426,            0.007426,            0.007426
                  80,            0.024257,           0.0066462,           0.0091604,             0.81027,             0.78026,             0.80616,              0.6183,            0.018907,           0.0045276,           0.0075236,            0.007393,            0.007393,            0.007393
                  81,            0.024129,           0.0068513,           0.0085943,             0.85778,             0.75578,             0.80311,             0.61147,            0.019206,           0.0045255,           0.0076035,             0.00736,             0.00736,             0.00736
                  82,             0.02355,           0.0062611,           0.0085209,             0.82835,             0.77262,             0.80027,             0.60762,            0.018996,           0.0046149,           0.0076449,            0.007327,            0.007327,            0.007327
                  83,            0.023621,           0.0067827,           0.0088311,             0.83907,             0.78813,             0.83312,             0.61921,            0.018552,           0.0045054,           0.0069623,            0.007294,            0.007294,            0.007294
                  84,            0.023548,           0.0066561,           0.0088796,             0.81255,             0.79478,              0.8192,             0.61498,             0.01877,           0.0045301,           0.0074209,            0.007261,            0.007261,            0.007261
                  85,            0.023436,            0.006655,           0.0082556,             0.82367,             0.78679,             0.81744,             0.61397,             0.01913,           0.0045236,           0.0072377,            0.007228,            0.007228,            0.007228
                  86,            0.023431,           0.0063166,           0.0082706,             0.84754,              0.7628,              0.8249,               0.619,            0.018709,           0.0044822,           0.0070911,            0.007195,            0.007195,            0.007195
                  87,            0.023495,           0.0064538,           0.0081942,             0.83669,             0.79257,             0.82057,             0.62067,            0.018612,           0.0045562,           0.0072654,            0.007162,            0.007162,            0.007162
                  88,            0.023789,           0.0066178,           0.0089479,              0.8453,             0.77913,             0.82414,             0.62211,            0.018546,           0.0044742,           0.0069138,            0.007129,            0.007129,            0.007129
                  89,            0.023385,           0.0065473,           0.0088728,              0.8559,             0.76582,             0.80818,              0.6203,            0.018288,           0.0045525,           0.0069905,            0.007096,            0.007096,            0.007096
                  90,            0.023202,           0.0064376,           0.0084197,             0.85849,             0.78929,             0.83215,             0.63075,            0.018778,           0.0045756,           0.0065652,            0.007063,            0.007063,            0.007063
                  91,            0.023765,           0.0063724,           0.0079942,             0.84942,             0.77646,             0.83372,             0.63066,            0.018656,           0.0044995,           0.0067556,             0.00703,             0.00703,             0.00703
                  92,            0.023324,           0.0064095,           0.0083212,              0.8734,             0.77839,              0.8259,             0.63155,            0.018385,           0.0045231,           0.0068206,            0.006997,            0.006997,            0.006997
